Título: Tusa | Recaudación: 2000000
Título: Se iluminaba | Recaudación: 4000000
Título: La Jeepeta - Remix | Recaudación: 6000000
Título: Caramelo' - Ozuna 'La Curiosidad | Recaudación: 10000000
Título: Mil Tequilas | Recaudación: 12000000
Título: Morado | Recaudación: 20000000
Título: Safaera | Recaudación: 15000000
Título: Relación | Recaudación: 2000000
Título: Dance Monkey | Recaudación: 20000000
Título: Todo de ti | Recaudación: 2000000
Título: Pareja del año | Recaudación: 2000000
Título: Yonaguni | Recaudación: 4000000
Título: Fiel | Recaudación: 6000000
Título: La historia | Recaudación: 10000000
Título: Bandido | Recaudación: 20000000
Título: Qué Mas Pues? | Recaudación: 30000000
Título: Tiroteo Remix | Recaudación: 34000000
Título: Loco | Recaudación: 36000000
Título: DÁKITI | Recaudación: 40000000
Nombre: Bad Gyal | Nombre artístico: Bad Gyal
Nombre: Beret | Nombre artístico: Beret
Nombre: Aitana | Nombre artístico: Aitana
Nombre: Omar Montes | Nombre artístico: Omar Montes
Nombre: Rosalía | Nombre artístico: Rosalía
Nombre: Rvfv | Nombre artístico: Rvfv
Nombre: Lérica | Nombre artístico: Lérica
Nombre: C. Tangana | Nombre artístico: C. Tangana
Nombre: Juan Magán | Nombre artístico: Juan Magán
Nombre: Ana Mena | Nombre artístico: Ana Mena
Nombre: Rauw Alejandro | Nombre artístico: Rauw Alejandro
Nombre: Bad Bunny | Nombre artístico: Bad Bunny
Nombre: Myke Towers | Nombre artístico: Myke Towers
Nombre: J Balvin | Nombre artístico: J Balvin
Nombre: Anuel AA | Nombre artístico: Anuel AA
Nombre: Aitana | Nombre artístico: Aitana
Nombre: KAROL G | Nombre artístico: KAROL G
Nombre: María Becerra | Nombre artístico: María Becerra
Nombre: Dua Lipa | Nombre artístico: Dua Lipa
Nombre: Nicki Nicole | Nombre artístico: Nicki Nicole
